,index,asset_name,assets,delta,eatr_d,eatr_e,eatr_mix,major_asset_group,metr_d,metr_e,metr_mix,mettr_d,mettr_e,mettr_mix,rho_d,rho_e,rho_mix,tax_treat,ucc_d,ucc_e,ucc_mix,z_d,z_e,z_mix
64,64,Inventories,1540550422356.87988,0.00000,0.16501,0.22150,0.20345,Inventories,0.00693,0.24012,0.19018,0.28832,0.32690,0.31871,0.04431,0.07633,0.06609,corporate,0.04431,0.07633,0.06609,0.00000,0.00000,0.00000
65,65,Land,3586505862665.65332,0.00000,0.15288,0.21000,0.19172,Land,-0.06704,0.21000,0.15208,0.23531,0.30022,0.28665,0.04124,0.07342,0.06312,corporate,0.04124,0.07342,0.06312,0.00000,0.00000,0.00000
163,163,Inventories,903249577643.12000,0.00000,0.14563,0.21412,0.19428,Inventories,-0.07724,0.23641,0.17415,0.34389,0.23641,0.25782,0.04085,0.06728,0.05962,non-corporate,0.04085,0.06728,0.05962,0.00000,0.00000,0.00000
164,164,Land,9085894137334.34766,0.00000,0.13386,0.20282,0.18283,Land,-0.16114,0.20282,0.13234,0.29279,0.20282,0.22025,0.03789,0.06445,0.05675,non-corporate,0.03789,0.06445,0.05675,0.00000,0.00000,0.00000
201,201,Intellectual Property,1681853383295.78247,0.17644,0.11868,0.14910,0.13936,Intellectual Property,-0.35069,0.00000,-0.07331,0.03204,0.11420,0.09703,0.03258,0.05800,0.04986,corporate,0.20902,0.23444,0.22631,1.00000,1.00000,1.00000
215,215,Intellectual Property,387169616704.21753,0.18561,0.10323,0.15072,0.13695,Intellectual Property,-0.45657,-0.00000,-0.08842,0.11285,-0.00000,0.02185,0.03021,0.05138,0.04524,non-corporate,0.21581,0.23698,0.23084,1.00000,1.00000,1.00000
226,226,Equipment,4571425640406.57031,0.14538,0.11868,0.14910,0.13936,Equipment,-0.35069,0.00000,-0.07331,0.03204,0.11420,0.09703,0.03258,0.05800,0.04986,corporate,0.17796,0.20338,0.19525,1.00000,1.00000,1.00000
230,230,Structures,8927295821987.31055,0.03248,0.13819,0.18217,0.16799,Structures,-0.17284,0.12613,0.06289,0.15949,0.22593,0.21161,0.03752,0.06637,0.05711,corporate,0.06999,0.09885,0.08959,0.67776,0.62088,0.63619
231,231,Equipment,1610127359593.42920,0.15633,0.10323,0.15072,0.13695,Equipment,-0.45657,0.00000,-0.08842,0.11285,0.00000,0.02185,0.03021,0.05138,0.04524,non-corporate,0.18654,0.20771,0.20157,1.00000,1.00000,1.00000
235,235,Structures,5050148178012.68848,0.02496,0.12700,0.18983,0.17147,Structures,-0.21640,0.16034,0.08648,0.25913,0.16034,0.17903,0.03617,0.06119,0.05390,non-corporate,0.06113,0.08614,0.07885,0.55295,0.47570,0.49512
236,236,Overall,20307631130712.19531,0.06162,0.13681,0.17988,0.16606,Overall,-0.18385,0.11845,0.05478,0.15160,0.21913,0.20479,0.03717,0.06579,0.05662,corporate,0.09878,0.12741,0.11824,0.60587,0.58087,0.58760
237,237,Overall,17036588869287.80469,0.02639,0.12886,0.19346,0.17469,Overall,-0.20091,0.17267,0.09996,0.26857,0.17267,0.19115,0.03664,0.06210,0.05471,non-corporate,0.06303,0.08849,0.08110,0.28115,0.25825,0.26401
