CIT_rate,DeprecSystem_3yr,BonusDeprec_3yr,DeprecSystem_5yr,BonusDeprec_5yr,DeprecSystem_7yr,BonusDeprec_7yr,DeprecSystem_10yr,BonusDeprec_10yr,DeprecSystem_15yr,BonusDeprec_15yr,DeprecSystem_20yr,BonusDeprec_20yr,DeprecSystem_25yr,DeprecSystem_27_5yr,DeprecSystem_39yr,interest_deduct_haircut_corp,interest_deduct_haircut_PT,tau_nc,tau_div,tau_int,tau_scg,tau_lcg,tau_xcg,tau_td,tau_w,Y_lcg,inv_tax_credit,ip_amortization
0.21,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,Economic,Economic,0.25,0.07,0.234821945,0.186931564,0.312040371,0.333912518,0.214439336,0,0.208574107,0,8,0.0217,FALSE
0.21,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,Economic,Economic,0.25,0.07,0.234712441,0.186704964,0.312441584,0.333912991,0.213794935,0,0.209277878,0,8,0.0217,TRUE
0.21,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,Economic,Economic,0.25,0.07,0.235523847,0.186814542,0.312863592,0.332853439,0.213067299,0,0.209595741,0,8,0.0217,TRUE
0.21,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,Economic,Economic,0.25,0.07,0.236227359,0.18708222,0.313536779,0.331912055,0.212879233,0,0.210447115,0,8,0.0217,TRUE
0.21,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,Economic,Economic,0.25,0.07,0.236983916,0.187620483,0.314250442,0.331617587,0.212828654,0,0.210839864,0,8,0.0217,TRUE
0.21,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,Economic,Economic,0.25,0.07,0.282544116,0.197721294,0.336482969,0.350968657,0.218960736,0,0.245380594,0,8,0.0217,TRUE
0.21,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,Economic,Economic,0.25,0.07,0.282897951,0.198146034,0.337446213,0.351307486,0.218943802,0,0.246394229,0,8,0.0217,TRUE
0.21,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,Economic,Economic,0.25,0.07,0.283247344,0.1979162,0.338441053,0.351365119,0.218991448,0,0.247665149,0,8,0.0217,TRUE
0.21,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,Economic,Economic,0.25,0.07,0.283462967,0.198437381,0.339118124,0.351199931,0.21908344,0,0.248875274,0,8,0.0217,TRUE
0.21,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,0,Economic,Economic,Economic,0.25,0.07,0.283688249,0.198950784,0.340322993,0.351473748,0.219337171,0,0.250306563,0,8,0.0217,TRUE
